CHANNEL,PLATFORM,MONTH,VIEWS
KNN1,KAKAO,2019-07-01,1457
KNN1,KAKAO,2019-08-01,1132
KNN1,KAKAO,2019-09-01,787
KNN1,KAKAO,2019-10-01,955
KNN1,KAKAO,2019-11-01,843
KNN1,KAKAO,2019-12-01,912
KNN1,NAVER,2019-01-01,91908
KNN1,NAVER,2019-02-01,68393
KNN1,NAVER,2019-03-01,80775
KNN1,NAVER,2019-04-01,53341
KNN1,NAVER,2019-05-01,18710
KNN1,NAVER,2019-06-01,13454
KNN1,NAVER,2019-07-01,13963
KNN1,NAVER,2019-08-01,11572
KNN1,NAVER,2019-09-01,10449
KNN1,NAVER,2019-10-01,9424
KNN1,NAVER,2019-11-01,9430
KNN1,NAVER,2019-12-01,8117
KNN2,KAKAO,2019-01-01,32676
KNN2,KAKAO,2019-02-01,147554
KNN2,KAKAO,2019-03-01,22602
KNN2,KAKAO,2019-04-01,211194
KNN2,KAKAO,2019-05-01,179073
KNN2,KAKAO,2019-06-01,42443
KNN2,KAKAO,2019-07-01,153334
KNN2,KAKAO,2019-08-01,98503
KNN2,KAKAO,2019-09-01,30658
KNN2,KAKAO,2019-10-01,169381
KNN2,KAKAO,2019-11-01,107872
KNN2,KAKAO,2019-12-01,180085
KNN2,NAVER,2019-01-01,219288
KNN2,NAVER,2019-02-01,176180
KNN2,NAVER,2019-03-01,241348
KNN2,NAVER,2019-04-01,127168
KNN2,NAVER,2019-05-01,54573
KNN2,NAVER,2019-06-01,49737
KNN2,NAVER,2019-07-01,143858
KNN2,NAVER,2019-08-01,78473
KNN2,NAVER,2019-09-01,123644
KNN2,NAVER,2019-10-01,76186
KNN2,NAVER,2019-11-01,72841
KNN2,NAVER,2019-12-01,59574
M2,KAKAO,2019-01-01,4791
M2,KAKAO,2019-02-01,4948
M2,KAKAO,2019-03-01,14591
M2,KAKAO,2019-04-01,24619
M2,KAKAO,2019-05-01,11874
M2,KAKAO,2019-06-01,8547
M2,KAKAO,2019-07-01,12808
M2,KAKAO,2019-08-01,4465
M2,KAKAO,2019-09-01,5811
M2,KAKAO,2019-10-01,5659
M2,KAKAO,2019-11-01,5048
M2,KAKAO,2019-12-01,3288
M2,NAVER,2019-01-01,1512889
M2,NAVER,2019-02-01,711005
M2,NAVER,2019-03-01,790690
M2,NAVER,2019-04-01,1153084
M2,NAVER,2019-05-01,1236025
M2,NAVER,2019-06-01,4285949
M2,NAVER,2019-07-01,16285280
M2,NAVER,2019-08-01,1164066
M2,NAVER,2019-09-01,1611751
M2,NAVER,2019-10-01,1318328
M2,NAVER,2019-11-01,872976
