WEEK_NUM,WEEK,PROGRAM,CH,KAKAO,NAVER,YOUTUBE
8,8주차(2020/02/17~2020/02/23),전국 노래자랑,KBS 1,7692,27866,47910
8,8주차(2020/02/17~2020/02/23),2020 설특집 법륜스님의 즉문즉설,tvN,5316,20390,57348
8,8주차(2020/02/17~2020/02/23),무한리필 샐러드,KBS 2,41329,2423,39097
8,8주차(2020/02/17~2020/02/23),TV-People,MBC TVPP,11932,70867,
8,8주차(2020/02/17~2020/02/23),2019 MBC 연기대상,MBC,233,4003,73832
8,8주차(2020/02/17~2020/02/23),강적들,TV CHOSUN,1334,10587,66128
8,8주차(2020/02/17~2020/02/23),편애중계,MBC,14777,42576,20643
8,8주차(2020/02/17~2020/02/23),밥 잘 사주는 예쁜 누나,JTBC,4859,72937,
8,8주차(2020/02/17~2020/02/23),라이브,tvN,3451,73206,
8,8주차(2020/02/17~2020/02/23),어쩌다 발견한 하루,MBC,2807,67983,5632
8,8주차(2020/02/17~2020/02/23),블랙독,tvN,1182,26857,47875
8,8주차(2020/02/17~2020/02/23),생생경제 정보톡톡,SBS CNBC,70085,2751,
8,8주차(2020/02/17~2020/02/23),비행기 타고 가요 시즌2,채널A,9392,7650,55138
8,8주차(2020/02/17~2020/02/23),선을 넘는 녀석들-리턴즈,MBC,44515,23529,3703
8,8주차(2020/02/17~2020/02/23),TV 속 노래모음 DJ티비씨,JTBC,1906,69820,
8,8주차(2020/02/17~2020/02/23),친한 예능,MBN,11392,51062,9079
8,8주차(2020/02/17~2020/02/23),어비스,tvN,2409,68694,
8,8주차(2020/02/17~2020/02/23),케이팝 어학당 - 노랫말싸미,tvN,36966,24224,8932
8,8주차(2020/02/17~2020/02/23),아이가다섯,KBS 2,5070,64326,
8,8주차(2020/02/17~2020/02/23),배틀트립,KBS 2,34871,31746,1476
8,8주차(2020/02/17~2020/02/23),생활의 달인,SBS,7776,29673,30504
8,8주차(2020/02/17~2020/02/23),나는 자연인이다,MBN,14892,43832,9076
8,8주차(2020/02/17~2020/02/23),행복한 아침,채널A,21988,12024,33758
8,8주차(2020/02/17~2020/02/23),루갈,OCN,3573,13514,48631
8,8주차(2020/02/17~2020/02/23),생방송 오늘 아침,MBC,13734,38660,13153
8,8주차(2020/02/17~2020/02/23),노래가 좋아,KBS 1,4001,42558,17639
8,8주차(2020/02/17~2020/02/23),2020 LPGA,JTBC,64167,,
8,8주차(2020/02/17~2020/02/23),호동과 바다,O’live,12509,8863,42730
8,8주차(2020/02/17~2020/02/23),알토란,MBN,4071,55756,4264
8,8주차(2020/02/17~2020/02/23),2019 SBS 연예대상,SBS,331,3028,60446
8,8주차(2020/02/17~2020/02/23),미스터 션샤인,tvN,3797,59494,
8,8주차(2020/02/17~2020/02/23),기막힌 이야기 실제상황,MBN,7069,53398,2043
8,8주차(2020/02/17~2020/02/23),그녀의 사생활,tvN,1528,60894,
8,8주차(2020/02/17~2020/02/23),2019 SBS 연기대상,SBS,639,6580,54487
8,8주차(2020/02/17~2020/02/23),송은이 김숙의 영화보장,채널A,60447,96,
8,8주차(2020/02/17~2020/02/23),쌈 마이웨이,KBS 2,3817,56508,
8,8주차(2020/02/17~2020/02/23),시리즈M : 별의별인간연구소,MBC,2573,50433,6630
8,8주차(2020/02/17~2020/02/23),부부의 세계,JTBC,21087,32546,5972
8,8주차(2020/02/17~2020/02/23),2018 TV는 사랑을 싣고,KBS 1,23464,11116,24427
8,8주차(2020/02/17~2020/02/23),2019 KBS 연기대상,KBS 2,203,3722,55051
8,8주차(2020/02/17~2020/02/23),싸이코패스 다이어리,tvN,423,8716,49580
8,8주차(2020/02/17~2020/02/23),SBS골프 아카데미,SBS Golf,57275,1208,
8,8주차(2020/02/17~2020/02/23),검색어를 입력하세요 WWW,tvN,2222,54534,
8,8주차(2020/02/17~2020/02/23),코리아 컬링리그,MBC PLUS,20904,3466,32141
8,8주차(2020/02/17~2020/02/23),엄지의 제왕,MBN,13797,38777,3838
8,8주차(2020/02/17~2020/02/23),더 지니어스: 룰 브레이커,tvN,121,197,55961
8,8주차(2020/02/17~2020/02/23),별별뉴스,채널A,42363,12060,
8,8주차(2020/02/17~2020/02/23),Mnet M2 (엠투),M2,3438,49397,
8,8주차(2020/02/17~2020/02/23),꿀픽(Cool Pick),eNEWS,2676,32738,17043
8,8주차(2020/02/17~2020/02/23),이태리 오징어순대집,JTBC,216,2689,49467
8,8주차(2020/02/17~2020/02/23),멜로가 체질,JTBC,2563,49061,
8,8주차(2020/02/17~2020/02/23),한국인의 밥상,KBS 1,752,3193,47143
8,8주차(2020/02/17~2020/02/23),다큐 세상,KBS 1,423,2513,48085
8,8주차(2020/02/17~2020/02/23),천일야사,채널A,4144,18628,28064
8,8주차(2020/02/17~2020/02/23),판도라,MBN,995,7248,41801
8,8주차(2020/02/17~2020/02/23),하나뿐인 내편,KBS 2,7119,42713,
8,8주차(2020/02/17~2020/02/23),열린 음악회,KBS 1,3198,38396,6783
8,8주차(2020/02/17~2020/02/23),생방송 오늘 저녁,MBC,32680,10568,1185
8,8주차(2020/02/17~2020/02/23),너희가 힙합을 아느냐,MNET,2000,11198,31109
8,8주차(2020/02/17~2020/02/23),뷰티 인사이드,JTBC,1777,42225,
